Statistik från Skolverket, http://www.skolverket.se

Grundskolan - Slutbetyg årskurs 9, samtliga elever
Valt läsår: 2008/09

Kommun;Kommun-kod;Län;Läns-kod;Typ av huvudman;Antal elever;Andel (%) som uppnått kunskapskraven i alla ämnen;Andel (%) behöriga till nationella program;Genomsnittligt meritvärde (16);
Ale;1440;Västra Götalands län;14;Samtliga;421;70,1;83,4;202,3;
Ale;1440;Västra Götalands län;14;Kommunal;380;68,9;82,6;197,2;
Ale;1440;Västra Götalands län;14;Enskild;41;80,5;~100;248,0;
Alingsås;1489;Västra Götalands län;14;Samtliga;539;82,7;93,6;217,5;
Alingsås;1489;Västra Götalands län;14;Kommunal;433;82,2;93,1;215,4;
Alingsås;1489;Västra Götalands län;14;Enskild;106;84,8;~100;226,6;
Alvesta;0764;Kronobergs län;07;Samtliga;266;74,1;88,7;203,0;
Alvesta;0764;Kronobergs län;07;Kommunal;266;74,1;88,7;203,0;
Aneby;0604;Jönköpings län;06;Samtliga;118;72,0;83,1;193,8;
Aneby;0604;Jönköpings län;06;Kommunal;117;72,6;83,8;194,7;
Aneby;0604;Jönköpings län;06;Enskild;..;.;.;..;
Arboga;1984;Västmanlands län;19;Samtliga;169;72,8;89,3;209,3;
Arboga;1984;Västmanlands län;19;Kommunal;169;72,8;89,3;209,3;
Arjeplog;2506;Norrbottens län;25;Samtliga;36;88,9;~100;211,0;
Arjeplog;2506;Norrbottens län;25;Kommunal;36;88,9;~100;211,0;
Arvidsjaur;2505;Norrbottens län;25;Samtliga;57;93,0;~100;217,9;
Arvidsjaur;2505;Norrbottens län;25;Kommunal;57;93,0;~100;217,9;
Arvika;1784;Värmlands län;17;Samtliga;377;77,5;86,7;212,3;
Arvika;1784;Värmlands län;17;Kommunal;338;76,3;86,7;210,0;
Arvika;1784;Värmlands län;17;Enskild;39;87,2;87,2;231,5;
Askersund;1882;Örebro län;18;Samtliga;139;79,1;90,6;199,1;
Askersund;1882;Örebro län;18;Kommunal;139;79,1;90,6;199,1;
Avesta;2084;Dalarnas län;20;Samtliga;290;75,9;89,3;203,0;
Avesta;2084;Dalarnas län;20;Kommunal;290;75,9;89,3;203,0;
Bengtsfors;1460;Västra Götalands län;14;Samtliga;132;65,9;79,5;194,5;
Bengtsfors;1460;Västra Götalands län;14;Kommunal;132;65,9;79,5;194,5;
Berg;2326;Jämtlands län;23;Samtliga;115;78,3;90,4;213,9;
Berg;2326;Jämtlands län;23;Kommunal;115;78,3;90,4;213,9;
Bjurholm;2403;Västerbottens län;24;Samtliga;45;75,6;84,4;208,1;
Bjurholm;2403;Västerbottens län;24;Kommunal;45;75,6;84,4;208,1;
Bjuv;1260;Skåne län;12;Samtliga;203;64,0;84,2;201,1;
Bjuv;1260;Skåne län;12;Kommunal;174;59,2;82,8;196,6;
Bjuv;1260;Skåne län;12;Enskild;29;93,1;~100;226,7;
Boden;2582;Norrbottens län;25;Samtliga;384;81,5;89,8;208,4;
Boden;2582;Norrbottens län;25;Kommunal;361;80,9;89,8;206,4;
Boden;2582;Norrbottens län;25;Enskild;23;91,3;~100;242,5;
Bollebygd;1443;Västra Götalands län;14;Samtliga;126;81,7;92,1;202,4;
Bollebygd;1443;Västra Götalands län;14;Kommunal;126;81,7;92,1;202,4;
Bollnäs;2183;Gävleborgs län;21;Samtliga;311;86,5;94,2;202,9;
Bollnäs;2183;Gävleborgs län;21;Kommunal;311;86,5;94,2;202,9;
Borgholm;0885;Kalmar län;08;Samtliga;134;81,3;95,5;211,7;
Borgholm;0885;Kalmar län;08;Kommunal;134;81,3;95,5;211,7;
Borlänge;2081;Dalarnas län;20;Samtliga;575;71,8;86,8;201,0;
Borlänge;2081;Dalarnas län;20;Kommunal;559;72,3;86,4;201,5;
Borlänge;2081;Dalarnas län;20;Enskild;16;..;100,0;184,7;
Borås;1490;Västra Götalands län;14;Samtliga;1 320;75,0;85,4;203,5;
Borås;1490;Västra Götalands län;14;Kommunal;1 257;74,5;85,0;202,9;
Borås;1490;Västra Götalands län;14;Enskild;63;85,7;92,1;214,8;
Botkyrka;0127;Stockholms län;01;Samtliga;1 153;68,7;83,4;204,6;
Botkyrka;0127;Stockholms län;01;Kommunal;961;67,2;81,4;199,2;
Botkyrka;0127;Stockholms län;01;Enskild;192;76,0;93,8;231,9;
Boxholm;0560;Östergötlands län;05;Samtliga;68;64,7;86,8;198,2;
Boxholm;0560;Östergötlands län;05;Kommunal;68;64,7;86,8;198,2;
Bromölla;1272;Skåne län;12;Samtliga;162;72,8;83,3;194,0;
Bromölla;1272;Skåne län;12;Kommunal;162;72,8;83,3;194,0;
Bräcke;2305;Jämtlands län;23;Samtliga;115;77,4;85,2;195,7;
Bräcke;2305;Jämtlands län;23;Kommunal;115;77,4;85,2;195,7;
Burlöv;1231;Skåne län;12;Samtliga;172;74,4;88,4;212,4;
Burlöv;1231;Skåne län;12;Kommunal;172;74,4;88,4;212,4;
Båstad;1278;Skåne län;12;Samtliga;178;88,8;94,4;218,6;
Båstad;1278;Skåne län;12;Kommunal;178;88,8;94,4;218,6;
Dals-Ed;1438;Västra Götalands län;14;Samtliga;55;76,4;87,3;202,8;
Dals-Ed;1438;Västra Götalands län;14;Kommunal;55;76,4;87,3;202,8;
Danderyd;0162;Stockholms län;01;Samtliga;486;93,2;97,9;254,8;
Danderyd;0162;Stockholms län;01;Kommunal;311;93,6;~100;254,9;
Danderyd;0162;Stockholms län;01;Enskild;175;92,6;96,6;254,5;
Degerfors;1862;Örebro län;18;Samtliga;147;61,2;81,0;177,1;
Degerfors;1862;Örebro län;18;Kommunal;147;61,2;81,0;177,1;
Dorotea;2425;Västerbottens län;24;Samtliga;41;82,9;~100;210,9;
Dorotea;2425;Västerbottens län;24;Kommunal;41;82,9;~100;210,9;
Eda;1730;Värmlands län;17;Samtliga;99;71,7;82,8;195,9;
Eda;1730;Värmlands län;17;Kommunal;99;71,7;82,8;195,9;
Ekerö;0125;Stockholms län;01;Samtliga;365;83,4;94,8;222,1;
Ekerö;0125;Stockholms län;01;Kommunal;320;81,6;94,1;219,0;
Ekerö;0125;Stockholms län;01;Enskild;45;97,6;100,0;245,0;
Eksjö;0686;Jönköpings län;06;Samtliga;230;66,1;89,1;190,1;
Eksjö;0686;Jönköpings län;06;Kommunal;213;71,4;93,0;199,3;
Eksjö;0686;Jönköpings län;06;Enskild;17;.;..;67,5;
Emmaboda;0862;Kalmar län;08;Samtliga;122;67,2;83,6;191,9;
Emmaboda;0862;Kalmar län;08;Kommunal;122;67,2;83,6;191,9;
Enköping;0381;Uppsala län;03;Samtliga;520;77,7;88,8;209,4;
Enköping;0381;Uppsala län;03;Kommunal;428;74,5;87,1;200,9;
Enköping;0381;Uppsala län;03;Enskild;92;92,4;~100;248,1;
Eskilstuna;0484;Södermanlands län;04;Samtliga;1 292;72,1;85,8;199,8;
Eskilstuna;0484;Södermanlands län;04;Kommunal;1 158;69,4;84,4;193,8;
Eskilstuna;0484;Södermanlands län;04;Enskild;134;94,8;~100;250,6;
Eslöv;1285;Skåne län;12;Samtliga;410;74,9;85,9;203,1;
Eslöv;1285;Skåne län;12;Kommunal;410;74,9;85,9;203,1;
Essunga;1445;Västra Götalands län;14;Samtliga;72;80,6;93,1;218,7;
Essunga;1445;Västra Götalands län;14;Kommunal;72;80,6;93,1;218,7;
Fagersta;1982;Västmanlands län;19;Samtliga;133;72,9;88,0;202,5;
Fagersta;1982;Västmanlands län;19;Kommunal;133;72,9;88,0;202,5;
Falkenberg;1382;Hallands län;13;Samtliga;618;73,8;89,0;200,8;
Falkenberg;1382;Hallands län;13;Kommunal;618;73,8;89,0;200,8;
Falköping;1499;Västra Götalands län;14;Samtliga;442;75,6;88,5;198,7;
Falköping;1499;Västra Götalands län;14;Kommunal;441;75,7;88,4;198,8;
Falköping;1499;Västra Götalands län;14;Enskild;..;.;..;..;
Falun;2080;Dalarnas län;20;Samtliga;762;82,9;89,1;210,0;
Falun;2080;Dalarnas län;20;Kommunal;706;83,0;89,2;209,2;
Falun;2080;Dalarnas län;20;Enskild;56;82,1;87,5;220,6;
Filipstad;1782;Värmlands län;17;Samtliga;122;65,6;78,7;193,5;
Filipstad;1782;Värmlands län;17;Kommunal;122;65,6;78,7;193,5;
Finspång;0562;Östergötlands län;05;Samtliga;258;73,6;85,7;200,1;
Finspång;0562;Östergötlands län;05;Kommunal;258;73,6;85,7;200,1;
Flen;0482;Södermanlands län;04;Samtliga;204;61,8;81,4;189,6;
Flen;0482;Södermanlands län;04;Kommunal;194;62,9;82,5;193,9;
Flen;0482;Södermanlands län;04;Enskild;10;..;..;108,0;
Forshaga;1763;Värmlands län;17;Samtliga;197;74,6;87,8;192,7;
Forshaga;1763;Värmlands län;17;Kommunal;197;74,6;87,8;192,7;
Färgelanda;1439;Västra Götalands län;14;Samtliga;119;77,3;86,6;199,9;
Färgelanda;1439;Västra Götalands län;14;Kommunal;119;77,3;86,6;199,9;
Gagnef;2026;Dalarnas län;20;Samtliga;150;83,3;95,3;212,5;
Gagnef;2026;Dalarnas län;20;Kommunal;150;83,3;95,3;212,5;
Gislaved;0662;Jönköpings län;06;Samtliga;467;72,8;85,2;196,6;
Gislaved;0662;Jönköpings län;06;Kommunal;467;72,8;85,2;196,6;
Gnesta;0461;Södermanlands län;04;Samtliga;146;71,9;92,1;203,4;
Gnesta;0461;Södermanlands län;04;Kommunal;139;71,9;92,1;203,4;
Gnesta;0461;Södermanlands län;04;Enskild;..;.;.;.;
Gnosjö;0617;Jönköpings län;06;Samtliga;131;80,2;90,1;207,5;
Gnosjö;0617;Jönköpings län;06;Kommunal;131;80,2;90,1;207,5;
Gotland;0980;Gotlands län;09;Samtliga;813;77,2;89,4;204,1;
Gotland;0980;Gotlands län;09;Kommunal;710;78,6;89,9;205,7;
Gotland;0980;Gotlands län;09;Enskild;103;66,7;86,0;191,8;
Grums;1764;Värmlands län;17;Samtliga;137;70,1;83,2;195,8;
Grums;1764;Värmlands län;17;Kommunal;137;70,1;83,2;195,8;
Grästorp;1444;Västra Götalands län;14;Samtliga;100;84,0;92,0;208,5;
Grästorp;1444;Västra Götalands län;14;Kommunal;100;84,0;92,0;208,5;
Gullspång;1447;Västra Götalands län;14;Samtliga;62;83,9;90,3;205,9;
Gullspång;1447;Västra Götalands län;14;Kommunal;62;83,9;90,3;205,9;
Gällivare;2523;Norrbottens län;25;Samtliga;212;85,4;92,5;218,1;
Gällivare;2523;Norrbottens län;25;Kommunal;193;83,9;91,7;217,3;
Gällivare;2523;Norrbottens län;25;Enskild;19;100,0;100,0;225,3;
Gävle;2180;Gävleborgs län;21;Samtliga;1 228;77,6;89,4;203,3;
Gävle;2180;Gävleborgs län;21;Kommunal;1 010;75,5;88,1;198,1;
Gävle;2180;Gävleborgs län;21;Enskild;218;87,2;95,4;226,9;
Göteborg;1480;Västra Götalands län;14;Samtliga;5 212;73,9;85,5;210,8;
Göteborg;1480;Västra Götalands län;14;Kommunal;4 098;71,5;83,6;205,6;
Göteborg;1480;Västra Götalands län;14;Enskild;1 114;83,8;93,3;231,2;
Götene;1471;Västra Götalands län;14;Samtliga;180;79,4;91,1;200,7;
Götene;1471;Västra Götalands län;14;Kommunal;180;79,4;91,1;200,7;
Habo;0643;Jönköpings län;06;Samtliga;146;92,5;93,8;216,4;
Habo;0643;Jönköpings län;06;Kommunal;146;92,5;93,8;216,4;
Hagfors;1783;Värmlands län;17;Samtliga;135;74,1;78,5;197,4;
Hagfors;1783;Värmlands län;17;Kommunal;135;74,1;78,5;197,4;
Hallsberg;1861;Örebro län;18;Samtliga;212;59,4;74,1;186,3;
Hallsberg;1861;Örebro län;18;Kommunal;212;59,4;74,1;186,3;
Hallstahammar;1961;Västmanlands län;19;Samtliga;219;71,2;84,0;206,9;
Hallstahammar;1961;Västmanlands län;19;Kommunal;219;71,2;84,0;206,9;
Halmstad;1380;Hallands län;13;Samtliga;1 144;82,3;91,6;210,4;
Halmstad;1380;Hallands län;13;Kommunal;1 070;82,1;91,6;209,4;
Halmstad;1380;Hallands län;13;Enskild;74;86,5;91,9;224,2;
Hammarö;1761;Värmlands län;17;Samtliga;223;93,3;97,8;221,3;
Hammarö;1761;Värmlands län;17;Kommunal;223;93,3;97,8;221,3;
Haninge;0136;Stockholms län;01;Samtliga;987;70,5;86,5;199,3;
Haninge;0136;Stockholms län;01;Kommunal;875;69,0;85,5;199,7;
Haninge;0136;Stockholms län;01;Enskild;112;82,1;94,6;195,9;
Haparanda;2583;Norrbottens län;25;Samtliga;170;77,6;82,9;203,8;
Haparanda;2583;Norrbottens län;25;Kommunal;170;77,6;82,9;203,8;
Heby;0331;Uppsala län;03;Samtliga;207;67,6;82,6;190,9;
Heby;0331;Uppsala län;03;Kommunal;207;67,6;82,6;190,9;
Hedemora;2083;Dalarnas län;20;Samtliga;206;79,8;87,4;197,5;
Hedemora;2083;Dalarnas län;20;Kommunal;189;79,9;87,3;198,2;
Hedemora;2083;Dalarnas län;20;Enskild;17;..;..;..;
Helsingborg;1283;Skåne län;12;Samtliga;1 618;77,4;88,9;213,2;
Helsingborg;1283;Skåne län;12;Kommunal;1 206;75,0;87,1;209,3;
Helsingborg;1283;Skåne län;12;Enskild;412;84,7;93,9;224,2;
Herrljunga;1466;Västra Götalands län;14;Samtliga;126;69,0;81,7;202,1;
Herrljunga;1466;Västra Götalands län;14;Kommunal;126;69,0;81,7;202,1;
Hjo;1497;Västra Götalands län;14;Samtliga;122;82,8;91,0;208,4;
Hjo;1497;Västra Götalands län;14;Kommunal;122;82,8;91,0;208,4;
Hofors;2104;Gävleborgs län;21;Samtliga;129;65,1;79,1;178,4;
Hofors;2104;Gävleborgs län;21;Kommunal;126;66,7;81,0;180,6;
Hofors;2104;Gävleborgs län;21;Enskild;..;.;.;..;
Huddinge;0126;Stockholms län;01;Samtliga;1 242;80,3;90,5;213,2;
Huddinge;0126;Stockholms län;01;Kommunal;1 102;78,9;89,7;211,0;
Huddinge;0126;Stockholms län;01;Enskild;140;91,4;~100;230,0;
Hudiksvall;2184;Gävleborgs län;21;Samtliga;475;76,4;86,4;202,3;
Hudiksvall;2184;Gävleborgs län;21;Kommunal;470;76,4;86,4;202,3;
Hudiksvall;2184;Gävleborgs län;21;Enskild;..;.;.;.;
Hultsfred;0860;Kalmar län;08;Samtliga;190;69,5;84,2;195,7;
Hultsfred;0860;Kalmar län;08;Kommunal;190;69,5;84,2;195,7;
Hylte;1315;Hallands län;13;Samtliga;153;63,4;81,7;189,9;
Hylte;1315;Hallands län;13;Kommunal;150;62,7;81,3;188,8;
Hylte;1315;Hallands län;13;Enskild;..;..;..;..;
Håbo;0305;Uppsala län;03;Samtliga;274;67,5;88,3;198,6;
Håbo;0305;Uppsala län;03;Kommunal;244;65,2;87,7;197,1;
Håbo;0305;Uppsala län;03;Enskild;30;86,7;~100;210,3;
Hällefors;1863;Örebro län;18;Samtliga;88;80,7;89,8;199,1;
Hällefors;1863;Örebro län;18;Kommunal;88;80,7;89,8;199,1;
Härjedalen;2361;Jämtlands län;23;Samtliga;132;75,8;89,4;205,4;
Härjedalen;2361;Jämtlands län;23;Kommunal;132;75,8;89,4;205,4;
Härnösand;2280;Västernorrlands län;22;Samtliga;291;71,5;89,0;197,5;
