Statistik från Skolverket, http://www.skolverket.se

Grundskolan - Slutbetyg årskurs 9, samtliga elever
Valt läsår: 2012/13

Kommun;Kommun-kod;Län;Läns-kod;Typ av huvudman;Antal elever;Andel (%) som uppnått kunskapskraven i alla ämnen;Andel (%) behörig yrkesprog.;Genomsnittligt meritvärde (16);
Ale;1440;Västra Götalands län;14;Samtliga;338;64,5;84,0;199,5;
Ale;1440;Västra Götalands län;14;Kommunal;293;60,8;81,9;196,3;
Ale;1440;Västra Götalands län;14;Enskild;45;88,9;~100;220,0;
Alingsås;1489;Västra Götalands län;14;Samtliga;447;83,0;92,6;223,5;
Alingsås;1489;Västra Götalands län;14;Kommunal;349;81,4;91,4;218,8;
Alingsås;1489;Västra Götalands län;14;Enskild;98;88,8;~100;239,9;
Alvesta;0764;Kronobergs län;07;Samtliga;190;74,7;83,7;204,5;
Alvesta;0764;Kronobergs län;07;Kommunal;190;74,7;83,7;204,5;
Aneby;0604;Jönköpings län;06;Samtliga;67;91,0;~100;220,6;
Aneby;0604;Jönköpings län;06;Kommunal;67;91,0;~100;220,6;
Arboga;1984;Västmanlands län;19;Samtliga;144;77,1;90,3;214,0;
Arboga;1984;Västmanlands län;19;Kommunal;144;77,1;90,3;214,0;
Arjeplog;2506;Norrbottens län;25;Samtliga;16;62,5;~100;196,9;
Arjeplog;2506;Norrbottens län;25;Kommunal;16;62,5;~100;196,9;
Arvidsjaur;2505;Norrbottens län;25;Samtliga;56;83,9;89,3;214,0;
Arvidsjaur;2505;Norrbottens län;25;Kommunal;56;83,9;89,3;214,0;
Arvika;1784;Värmlands län;17;Samtliga;264;74,2;90,2;205,2;
Arvika;1784;Värmlands län;17;Kommunal;225;71,1;89,3;201,6;
Arvika;1784;Värmlands län;17;Enskild;39;92,3;~100;225,9;
Askersund;1882;Örebro län;18;Samtliga;104;65,4;79,8;199,1;
Askersund;1882;Örebro län;18;Kommunal;104;65,4;79,8;199,1;
Avesta;2084;Dalarnas län;20;Samtliga;185;76,2;84,9;212,4;
Avesta;2084;Dalarnas län;20;Kommunal;185;76,2;84,9;212,4;
Bengtsfors;1460;Västra Götalands län;14;Samtliga;92;72,8;87,0;210,2;
Bengtsfors;1460;Västra Götalands län;14;Kommunal;92;72,8;87,0;210,2;
Berg;2326;Jämtlands län;23;Samtliga;71;77,5;78,9;200,8;
Berg;2326;Jämtlands län;23;Kommunal;71;77,5;78,9;200,8;
Bjurholm;2403;Västerbottens län;24;Samtliga;25;76,0;~100;211,8;
Bjurholm;2403;Västerbottens län;24;Kommunal;25;76,0;~100;211,8;
Bjuv;1260;Skåne län;12;Samtliga;167;70,1;92,8;198,8;
Bjuv;1260;Skåne län;12;Kommunal;140;66,4;92,9;196,9;
Bjuv;1260;Skåne län;12;Enskild;27;88,9;~100;208,4;
Boden;2582;Norrbottens län;25;Samtliga;294;88,1;92,5;224,0;
Boden;2582;Norrbottens län;25;Kommunal;220;88,2;91,4;224,8;
