Statistik från Skolverket, http://www.skolverket.se

Grundskolan - Slutbetyg årskurs 9, samtliga elever
Valt läsår: 2015/16

;;;;;Inklusive okänd bakgrund;Inklusive okänd bakgrund;Inklusive okänd bakgrund;Inklusive okänd bakgrund;Exklusive okänd bakgrund;Exklusive okänd bakgrund;Exklusive okänd bakgrund;
Kommun;Kommun-kod;Län;Läns-kod;Typ av huvudman;Antal elever;Andel (%) som uppnått kunskapskraven i alla ämnen;Andel (%) behörig yrkesprog.;Genomsnittligt meritvärde (17);Andel (%) som uppnått kunskapskraven i alla ämnen;Andel (%) behörig yrkesprog.;Genomsnittligt meritvärde (17);
Ale;1440;Västra Götalands län;14;Samtliga;366;68,0;79,5;204,3;70,7;81,8;209,3;
Ale;1440;Västra Götalands län;14;Kommunal;343;66,2;78,1;201,2;68,9;80,5;206,3;
Ale;1440;Västra Götalands län;14;Enskild;23;95,7;100,0;249,8;95,7;100,0;249,8;
Alingsås;1489;Västra Götalands län;14;Samtliga;486;81,9;88,7;224,4;85,2;92,1;230,0;
Alingsås;1489;Västra Götalands län;14;Kommunal;401;79,6;86,8;220,2;83,5;90,8;227,0;
Alingsås;1489;Västra Götalands län;14;Enskild;85;92,9;~100;243,6;92,9;~100;243,6;
Alvesta;0764;Kronobergs län;07;Samtliga;232;58,6;70,7;197,0;64,8;78,1;206,5;
Alvesta;0764;Kronobergs län;07;Kommunal;232;58,6;70,7;197,0;64,8;78,1;206,5;
Aneby;0604;Jönköpings län;06;Samtliga;53;90,6;~100;231,9;90,4;~100;232,9;
Aneby;0604;Jönköpings län;06;Kommunal;53;90,6;~100;231,9;90,4;~100;232,9;
Arboga;1984;Västmanlands län;19;Samtliga;158;70,9;84,2;222,3;71,8;85,3;224,4;
Arboga;1984;Västmanlands län;19;Kommunal;158;70,9;84,2;222,3;71,8;85,3;224,4;
Arjeplog;2506;Norrbottens län;25;Samtliga;26;84,6;~100;232,3;84,6;~100;232,3;
Arjeplog;2506;Norrbottens län;25;Kommunal;26;84,6;~100;232,3;84,6;~100;232,3;
Arvidsjaur;2505;Norrbottens län;25;Samtliga;77;75,3;83,1;214,1;75,3;83,1;214,1;
Arvidsjaur;2505;Norrbottens län;25;Kommunal;77;75,3;83,1;214,1;75,3;83,1;214,1;
