Statistik från Skolverket, http://www.skolverket.se

Grundskolan - Slutbetyg årskurs 9, samtliga elever
Valt läsår: 2016/17

;;;;;Samtliga elever;Samtliga elever;Samtliga elever;Samtliga elever;Flickor;Flickor;Flickor;Flickor;Flickor;Pojkar;Pojkar;Pojkar;Pojkar;Pojkar;
Kommun;Kommun-kod;Län;Läns-kod;Typ av huvudman;Antal elever;Andel (%) som uppnått kunskapskraven i alla ämnen;Andel (%) behörig yrkesprog.;Genomsnittligt meritvärde (17);Antal elever;Andel (%) elever;Andel som uppnått kunskapskraven i alla ämnen;Andel (%) behörig yrkesprog.;Genomsnittligt meritvärde (17);Antal elever;Andel (%) elever;Andel som uppnått kunskapskraven i alla ämnen;Andel (%) behörig yrkesprog.;Genomsnittligt meritvärde (17);
Ale;1440;Västra Götalands län;14;Samtliga;301;70,4;80,7;209,6;127;42,2;81,1;89,0;242,6;174;57,8;62,6;74,7;185,8;
Ale;1440;Västra Götalands län;14;Kommunal;278;68,7;79,1;207,8;112;40,3;79,5;87,5;242,6;166;59,7;61,4;73,5;184,5;
Ale;1440;Västra Götalands län;14;Enskild;23;91,3;100,0;231,7;..;..;93,3;100,0;243,0;..;..;..;..;..;
Alingsås;1489;Västra Götalands län;14;Samtliga;467;78,4;86,5;228,6;211;45,2;82,9;90,0;244,5;256;54,8;74,6;83,6;215,3;
Alingsås;1489;Västra Götalands län;14;Kommunal;359;75,2;82,7;221,7;155;43,2;80,0;86,5;236,2;204;56,8;71,6;79,9;210,6;
Alingsås;1489;Västra Götalands län;14;Enskild;108;88,9;~100;251,2;56;51,9;91,1;100,0;267,6;52;48,1;86,5;~100;233,5;
Alvesta;0764;Kronobergs län;07;Samtliga;243;56,8;70,4;199,3;109;44,9;69,7;79,8;222,6;134;55,1;46,3;62,7;180,0;
Alvesta;0764;Kronobergs län;07;Kommunal;243;56,8;70,4;199,3;109;44,9;69,7;79,8;222,6;134;55,1;46,3;62,7;180,0;
Aneby;0604;Jönköpings län;06;Samtliga;75;68,0;73,3;197,3;30;40,0;76,7;76,7;211,3;45;60,0;62,2;71,1;188,0;
Aneby;0604;Jönköpings län;06;Kommunal;75;68,0;73,3;197,3;30;40,0;76,7;76,7;211,3;45;60,0;62,2;71,1;188,0;
Arboga;1984;Västmanlands län;19;Samtliga;151;74,8;86,1;225,9;73;48,3;71,2;84,9;234,6;78;51,7;78,2;87,2;217,9;
Arboga;1984;Västmanlands län;19;Kommunal;151;74,8;86,1;225,9;73;48,3;71,2;84,9;234,6;78;51,7;78,2;87,2;217,9;
Arjeplog;2506;Norrbottens län;25;Samtliga;21;76,2;76,2;216,2;..;..;..;..;..;..;..;68,8;68,8;197,2;
Arjeplog;2506;Norrbottens län;25;Kommunal;21;76,2;76,2;216,2;..;..;..;..;..;..;..;68,8;68,8;197,2;
Arvidsjaur;2505;Norrbottens län;25;Samtliga;61;55,7;73,8;197,3;30;49,2;50,0;76,7;198,4;31;50,8;61,3;71,0;196,4;
Arvidsjaur;2505;Norrbottens län;25;Kommunal;61;55,7;73,8;197,3;30;49,2;50,0;76,7;198,4;31;50,8;61,3;71,0;196,4;
Arvika;1784;Värmlands län;17;Samtliga;278;72,3;82,0;210,8;125;45,0;80,0;88,8;237,9;153;55,0;66,0;76,5;188,3;
Arvika;1784;Värmlands län;17;Kommunal;246;68,7;79,7;205,3;100;40,7;75,0;86,0;233,0;146;59,3;64,4;75,3;186,1;
Arvika;1784;Värmlands län;17;Enskild;32;100,0;100,0;252,0;..;..;100,0;100,0;257,1;..;..;..;..;..;
Askersund;1882;Örebro län;18;Samtliga;107;78,5;86,9;220,0;53;49,5;88,7;~100;249,2;54;50,5;68,5;79,6;191,8;
Askersund;1882;Örebro län;18;Kommunal;107;78,5;86,9;220,0;53;49,5;88,7;~100;249,2;54;50,5;68,5;79,6;191,8;
Avesta;2084;Dalarnas län;20;Samtliga;249;53,0;69,5;193,0;111;44,6;58,6;73,9;211,5;138;55,4;48,6;65,9;178,4;
Avesta;2084;Dalarnas län;20;Kommunal;249;53,0;69,5;193,0;111;44,6;58,6;73,9;211,5;138;55,4;48,6;65,9;178,4;
Bengtsfors;1460;Västra Götalands län;14;Samtliga;81;55,6;67,9;201,5;41;50,6;61,0;73,2;224,2;40;49,4;50,0;62,5;179,4;
Bengtsfors;1460;Västra Götalands län;14;Kommunal;81;55,6;67,9;201,5;41;50,6;61,0;73,2;224,2;40;49,4;50,0;62,5;179,4;
Berg;2326;Jämtlands län;23;Samtliga;83;54,2;61,4;191,7;34;41,0;58,8;67,6;217,5;49;59,0;51,0;57,1;173,5;
Berg;2326;Jämtlands län;23;Kommunal;83;54,2;61,4;191,7;34;41,0;58,8;67,6;217,5;49;59,0;51,0;57,1;173,5;
Bjurholm;2403;Västerbottens län;24;Samtliga;28;82,1;~100;206,8;13;46,4;92,3;100,0;226,9;15;53,6;73,3;~100;189,3;
Bjurholm;2403;Västerbottens län;24;Kommunal;28;82,1;~100;206,8;13;46,4;92,3;100,0;226,9;15;53,6;73,3;~100;189,3;
Bjuv;1260;Skåne län;12;Samtliga;186;69,4;82,3;215,8;82;44,1;73,2;81,7;222,0;104;55,9;66,3;82,7;210,8;
Bjuv;1260;Skåne län;12;Kommunal;186;69,4;82,3;215,8;82;44,1;73,2;81,7;222,0;104;55,9;66,3;82,7;210,8;
Boden;2582;Norrbottens län;25;Samtliga;314;74,5;79,9;209,6;140;44,6;79,3;83,6;231,2;174;55,4;70,7;77,0;192,6;
Boden;2582;Norrbottens län;25;Kommunal;242;70,2;75,6;200,8;103;42,6;77,7;80,6;228,9;139;57,4;64,7;71,9;180,3;
Boden;2582;Norrbottens län;25;Enskild;72;88,9;~100;239,2;37;51,4;83,8;~100;237,8;35;48,6;94,3;~100;240,5;
Bollebygd;1443;Västra Götalands län;14;Samtliga;114;85,1;93,0;235,9;62;54,4;85,5;~100;241,0;52;45,6;84,6;~100;229,9;
Bollebygd;1443;Västra Götalands län;14;Kommunal;114;85,1;93,0;235,9;62;54,4;85,5;~100;241,0;52;45,6;84,6;~100;229,9;
Bollnäs;2183;Gävleborgs län;21;Samtliga;295;70,5;76,3;202,8;130;44,1;75,4;81,5;222,6;165;55,9;66,7;72,1;186,9;
Bollnäs;2183;Gävleborgs län;21;Kommunal;145;49,0;58,6;172,0;58;40,0;53,4;65,5;184,5;87;60,0;46,0;54,0;163,6;
Bollnäs;2183;Gävleborgs län;21;Enskild;150;91,3;93,3;231,5;72;48,0;93,1;~100;252,3;78;52,0;89,7;92,3;212,0;
Borgholm;0885;Kalmar län;08;Samtliga;111;83,8;88,3;228,4;42;37,8;83,3;85,7;226,4;69;62,2;84,1;89,9;229,7;
Borgholm;0885;Kalmar län;08;Kommunal;111;83,8;88,3;228,4;42;37,8;83,3;85,7;226,4;69;62,2;84,1;89,9;229,7;
Borlänge;2081;Dalarnas län;20;Samtliga;647;62,9;75,6;203,6;333;51,5;66,7;76,6;218,2;314;48,5;58,9;74,5;188,1;
Borlänge;2081;Dalarnas län;20;Kommunal;565;61,2;74,0;199,5;281;49,7;64,8;74,7;213,5;284;50,3;57,7;73,2;185,6;
Borlänge;2081;Dalarnas län;20;Enskild;82;74,4;86,6;232,2;52;63,4;76,9;86,5;243,9;30;36,6;70,0;~100;212,0;
Borås;1490;Västra Götalands län;14;Samtliga;1 216;73,5;81,9;222,3;572;47,0;76,6;84,1;235,0;644;53,0;70,8;80,0;210,9;
Borås;1490;Västra Götalands län;14;Kommunal;991;69,5;78,5;212,8;457;46,1;72,9;80,7;225,0;534;53,9;66,7;76,6;202,2;
Borås;1490;Västra Götalands län;14;Enskild;225;91,1;96,9;263,7;115;51,1;91,3;~100;274,5;110;48,9;90,9;~100;252,4;
Botkyrka;0127;Stockholms län;01;Samtliga;941;69,7;81,5;220,4;421;44,7;72,7;84,3;234,2;520;55,3;67,3;79,2;209,3;
Botkyrka;0127;Stockholms län;01;Kommunal;801;68,2;81,0;217,8;350;43,7;70,6;83,7;232,3;451;56,3;66,3;78,9;206,6;
Botkyrka;0127;Stockholms län;01;Enskild;140;78,6;84,3;235,0;71;50,7;83,1;87,3;243,4;69;49,3;73,9;81,2;226,6;
Boxholm;0560;Östergötlands län;05;Samtliga;66;66,7;78,8;201,1;34;51,5;73,5;85,3;229,6;32;48,5;59,4;71,9;169,9;
Boxholm;0560;Östergötlands län;05;Kommunal;66;66,7;78,8;201,1;34;51,5;73,5;85,3;229,6;32;48,5;59,4;71,9;169,9;
Bromölla;1272;Skåne län;12;Samtliga;126;61,1;74,6;191,6;60;47,6;78,3;85,0;232,1;66;52,4;45,5;65,2;156,0;
Bromölla;1272;Skåne län;12;Kommunal;126;61,1;74,6;191,6;60;47,6;78,3;85,0;232,1;66;52,4;45,5;65,2;156,0;
Bräcke;2305;Jämtlands län;23;Samtliga;98;58,2;65,3;173,2;33;33,7;81,8;81,8;217,4;65;66,3;46,2;56,9;150,4;
Bräcke;2305;Jämtlands län;23;Kommunal;98;58,2;65,3;173,2;33;33,7;81,8;81,8;217,4;65;66,3;46,2;56,9;150,4;
Burlöv;1231;Skåne län;12;Samtliga;180;66,1;78,9;213,7;82;45,6;76,8;89,0;234,5;98;54,4;57,1;70,4;195,4;
Burlöv;1231;Skåne län;12;Kommunal;180;66,1;78,9;213,7;82;45,6;76,8;89,0;234,5;98;54,4;57,1;70,4;195,4;
Båstad;1278;Skåne län;12;Samtliga;128;75,8;87,5;223,6;66;51,6;74,2;87,9;236,2;62;48,4;77,4;87,1;210,3;
Båstad;1278;Skåne län;12;Kommunal;128;75,8;87,5;223,6;66;51,6;74,2;87,9;236,2;62;48,4;77,4;87,1;210,3;
Dals-Ed;1438;Västra Götalands län;14;Samtliga;50;62,0;78,0;204,9;18;36,0;88,9;100,0;277,2;32;64,0;46,9;65,6;164,1;
Dals-Ed;1438;Västra Götalands län;14;Kommunal;50;62,0;78,0;204,9;18;36,0;88,9;100,0;277,2;32;64,0;46,9;65,6;164,1;
Danderyd;0162;Stockholms län;01;Samtliga;517;92,8;96,1;269,8;218;42,2;95,9;~100;283,7;299;57,8;90,6;94,3;259,6;
Danderyd;0162;Stockholms län;01;Kommunal;336;92,6;94,3;266,6;133;39,6;96,2;~100;281,3;203;60,4;90,1;92,1;257,0;
Danderyd;0162;Stockholms län;01;Enskild;181;93,4;~100;275,6;85;47,0;95,3;100,0;287,5;96;53,0;91,7;~100;265,0;
Degerfors;1862;Örebro län;18;Samtliga;94;66,0;86,2;208,3;43;45,7;90,7;~100;239,2;51;54,3;45,1;80,4;182,3;
Degerfors;1862;Örebro län;18;Kommunal;94;66,0;86,2;208,3;43;45,7;90,7;~100;239,2;51;54,3;45,1;80,4;182,3;
Dorotea;2425;Västerbottens län;24;Samtliga;29;93,1;~100;220,1;18;62,1;94,4;~100;232,6;11;37,9;90,9;~100;200,7;
Dorotea;2425;Västerbottens län;24;Kommunal;29;93,1;~100;220,1;18;62,1;94,4;~100;232,6;11;37,9;90,9;~100;200,7;
Eda;1730;Värmlands län;17;Samtliga;80;81,3;90,0;228,9;41;51,3;73,2;87,8;243,0;39;48,8;89,7;~100;213,3;
Eda;1730;Värmlands län;17;Kommunal;80;81,3;90,0;228,9;41;51,3;73,2;87,8;243,0;39;48,8;89,7;~100;213,3;
Ekerö;0125;Stockholms län;01;Samtliga;343;88,6;92,1;248,2;171;49,9;89,5;92,4;256,5;172;50,1;87,8;91,9;240,0;
Ekerö;0125;Stockholms län;01;Kommunal;311;87,8;91,3;245,0;156;50,2;88,5;91,7;254,1;155;49,8;87,1;91,0;235,8;
Ekerö;0125;Stockholms län;01;Enskild;32;96,9;100,0;279,1;15;46,9;100,0;100,0;281,2;17;53,1;94,1;100,0;277,4;
Eksjö;0686;Jönköpings län;06;Samtliga;226;74,8;78,8;229,2;111;49,1;79,3;81,1;249,9;115;50,9;70,4;76,5;209,8;
Eksjö;0686;Jönköpings län;06;Kommunal;213;78,9;82,2;233,9;105;49,3;83,8;85,7;251,6;108;50,7;74,1;78,7;216,5;
Eksjö;0686;Jönköpings län;06;Enskild;13;..;..;..;..;..;.;.;..;..;..;..;..;..;
Emmaboda;0862;Kalmar län;08;Samtliga;89;56,2;65,2;180,1;34;38,2;76,5;82,4;224,7;55;61,8;43,6;54,5;152,0;
Emmaboda;0862;Kalmar län;08;Kommunal;89;56,2;65,2;180,1;34;38,2;76,5;82,4;224,7;55;61,8;43,6;54,5;152,0;
Enköping;0381;Uppsala län;03;Samtliga;519;73,8;84,0;222,4;242;46,6;79,8;88,0;238,3;277;53,4;68,6;80,5;208,4;
